type,issue_url,comment_url,repo_name,id,issue_num,title,user_login,user_id,user_name,user_email,issue_state,created_at,updated_at,body,reactions
issue,https://api.github.com/repos/apache/incubator-wayang/issues/63,https://api.github.com/repos/apache/incubator-wayang/issues/63,incubator-wayang,1113063148,63,ExecutionPlan.toJsonList add documentation,github-actions,,,,OPEN,2022-01-24T19:39:59Z,2023-07-20T15:07:50Z,"ExecutionPlan.toJsonList add documentation

labels:documentation,todo

@return

https://github.com/apache/incubator-wayang/blob/fe066b31d72e8789886aa1217f2516c576195a32/wayang-commons/wayang-core/src/main/java/org/apache/wayang/core/plan/executionplan/ExecutionPlan.java#L99

```java

        return sb.toString();
    }

    /**
     * TODO: ExecutionPlan.toJsonList add documentation
     * labels:documentation,todo
     *
     * @return
     */
    public List<Map> toJsonList() {
        Counter<ExecutionStage> stageActivationCounter = new Counter<>();
        Queue<ExecutionStage> activatedStages = new LinkedList<>(this.startingStages);

```

eb7c56cfe3a29a574d5f0fac8781f9389527d5ea","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/63/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
issue,https://api.github.com/repos/apache/incubator-wayang/issues/64,https://api.github.com/repos/apache/incubator-wayang/issues/64,incubator-wayang,1129134771,64,add unitary test to the elements in the file org.apache.wayang.api.DataQuanta.sc...,github-actions,,,,OPEN,2022-02-09T22:51:01Z,2022-02-09T22:51:02Z,"add unitary test to the elements in the file org.apache.wayang.api.DataQuanta.scala

https://github.com/apache/incubator-wayang/blob/278cbdc4bd8e87863a7cb43bc68c52ca783039c0/wayang-api/wayang-api-scala-java/code/main/scala/org/apache/wayang/api/DataQuanta.scala#L22

```scala


package org.apache.wayang.api

/**
 * TODO: add unitary test to the elements in the file org.apache.wayang.api.DataQuanta.scala
 * labels: unitary-test,todo
 */
import _root_.java.lang.{Iterable => JavaIterable}
import _root_.java.util.function.{Consumer, IntUnaryOperator, BiFunction => JavaBiFunction, Function => JavaFunction}
import _root_.java.util.{Collection => JavaCollection}

```

802365979c9912b9cbb1eedd524c7da7390e8c94","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/64/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
issue,https://api.github.com/repos/apache/incubator-wayang/issues/65,https://api.github.com/repos/apache/incubator-wayang/issues/65,incubator-wayang,1129134819,65,add the documentation to the object org.apache.wayang.api.DataQuanta,github-actions,,,,OPEN,2022-02-09T22:51:03Z,2022-02-09T22:51:04Z,"add the documentation to the object org.apache.wayang.api.DataQuanta

https://github.com/apache/incubator-wayang/blob/278cbdc4bd8e87863a7cb43bc68c52ca783039c0/wayang-api/wayang-api-scala-java/code/main/scala/org/apache/wayang/api/DataQuanta.scala#L932

```scala


}

/**
 * TODO: add the documentation to the object org.apache.wayang.api.DataQuanta
 * labels: documentation,todo
 */
object DataQuanta {

  def create[T](output: OutputSlot[T])(implicit planBuilder: PlanBuilder): DataQuanta[_] =

```

6bcf18f428fa2a8cc8989894ff0101b956e79a61","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/65/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
issue,https://api.github.com/repos/apache/incubator-wayang/issues/66,https://api.github.com/repos/apache/incubator-wayang/issues/66,incubator-wayang,1129134865,66,add unitary test to the elements in the file org.apache.wayang.api.DataQuantaBui...,github-actions,,,,OPEN,2022-02-09T22:51:06Z,2022-02-09T22:51:07Z,"add unitary test to the elements in the file org.apache.wayang.api.DataQuantaBuilder.scala

https://github.com/apache/incubator-wayang/blob/278cbdc4bd8e87863a7cb43bc68c52ca783039c0/wayang-api/wayang-api-scala-java/code/main/scala/org/apache/wayang/api/DataQuantaBuilder.scala#L22

```scala


package org.apache.wayang.api

/**
 * TODO: add unitary test to the elements in the file org.apache.wayang.api.DataQuantaBuilder.scala
 * labels: unitary-test,todo
 */
import java.util.function.{Consumer, IntUnaryOperator, Function => JavaFunction}
import java.util.{Collection => JavaCollection}
import org.apache.wayang.api.graph.{Edge, EdgeDataQuantaBuilder, EdgeDataQuantaBuilderDecorator}

```

c8c9df7f45ddaf1e16155a5a0e17c4deb7eb30a0","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/66/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
issue,https://api.github.com/repos/apache/incubator-wayang/issues/67,https://api.github.com/repos/apache/incubator-wayang/issues/67,incubator-wayang,1129134920,67,add unitary test to the elements in the file org.apache.wayang.api.JavaPlanBuild...,github-actions,,,,OPEN,2022-02-09T22:51:08Z,2022-02-09T22:51:09Z,"add unitary test to the elements in the file org.apache.wayang.api.JavaPlanBuilder.scala

https://github.com/apache/incubator-wayang/blob/278cbdc4bd8e87863a7cb43bc68c52ca783039c0/wayang-api/wayang-api-scala-java/code/main/scala/org/apache/wayang/api/JavaPlanBuilder.scala#L21

```scala

 */

package org.apache.wayang.api
/**
 * TODO: add unitary test to the elements in the file org.apache.wayang.api.JavaPlanBuilder.scala
 * labels: unitary-test,todo
 */
import java.util.{Collection => JavaCollection}
import org.apache.commons.lang3.Validate
import org.apache.wayang.api.util.DataQuantaBuilderCache

```

f749b48e33189a4fec6508a1af48e238265907df","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/67/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
issue,https://api.github.com/repos/apache/incubator-wayang/issues/68,https://api.github.com/repos/apache/incubator-wayang/issues/68,incubator-wayang,1129134984,68,add unitary test to the elements in the file org.apache.wayang.api.PlanBuilder.s...,github-actions,,,,OPEN,2022-02-09T22:51:10Z,2022-02-09T22:51:12Z,"add unitary test to the elements in the file org.apache.wayang.api.PlanBuilder.scala

https://github.com/apache/incubator-wayang/blob/278cbdc4bd8e87863a7cb43bc68c52ca783039c0/wayang-api/wayang-api-scala-java/code/main/scala/org/apache/wayang/api/PlanBuilder.scala#L21

```scala

 */

package org.apache.wayang.api
/**
 * TODO: add unitary test to the elements in the file org.apache.wayang.api.PlanBuilder.scala
 * labels: unitary-test,todo
 */
import org.apache.commons.lang3.Validate
import org.apache.wayang.api
import org.apache.wayang.basic.data.Record

```

16a4914ccf4698994676780dfe1ffcde45ca495e","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/68/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
issue,https://api.github.com/repos/apache/incubator-wayang/issues/69,https://api.github.com/repos/apache/incubator-wayang/issues/69,incubator-wayang,1129135044,69,add unitary test to the elements in the file org.apache.wayang.api.RecordDataQua...,github-actions,,,,OPEN,2022-02-09T22:51:13Z,2022-02-09T22:51:14Z,"add unitary test to the elements in the file org.apache.wayang.api.RecordDataQuantaBuilder.scala

https://github.com/apache/incubator-wayang/blob/278cbdc4bd8e87863a7cb43bc68c52ca783039c0/wayang-api/wayang-api-scala-java/code/main/scala/org/apache/wayang/api/RecordDataQuantaBuilder.scala#L21

```scala

 */

package org.apache.wayang.api
/**
 * TODO: add unitary test to the elements in the file org.apache.wayang.api.RecordDataQuantaBuilder.scala
 * labels: unitary-test,todo
 */
import org.apache.wayang.api.util.DataQuantaBuilderDecorator
import org.apache.wayang.basic.data.Record
import org.apache.wayang.basic.function.ProjectionDescriptor

```

8d9c1b73814e5cb75c62e20fe537b2ca7652677b","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/69/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
issue,https://api.github.com/repos/apache/incubator-wayang/issues/70,https://api.github.com/repos/apache/incubator-wayang/issues/70,incubator-wayang,1129135099,70,add the description for the implicitis in org.apache.wayang.api.graph,github-actions,,,,OPEN,2022-02-09T22:51:15Z,2022-02-09T22:51:16Z,"add the description for the implicitis in org.apache.wayang.api.graph

https://github.com/apache/incubator-wayang/blob/278cbdc4bd8e87863a7cb43bc68c52ca783039c0/wayang-api/wayang-api-scala-java/code/main/scala/org/apache/wayang/api/graph/package.scala#L29

```scala

  */
package object graph {

  /**
   * TODO: add the description for the implicitis in org.apache.wayang.api.graph
   * labels: documentation,todo
   */

  type Vertex = java.lang.Long

  type Edge = T2[Vertex, Vertex]

```

b1e0e4b397bbbbba3042a694a04106bbeddc22db","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/70/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
issue,https://api.github.com/repos/apache/incubator-wayang/issues/71,https://api.github.com/repos/apache/incubator-wayang/issues/71,incubator-wayang,1129135152,71,add the documentation in the implicit of org.apache.wayang.api,github-actions,,,,OPEN,2022-02-09T22:51:18Z,2022-02-09T22:51:19Z,"add the documentation in the implicit of org.apache.wayang.api

https://github.com/apache/incubator-wayang/blob/278cbdc4bd8e87863a7cb43bc68c52ca783039c0/wayang-api/wayang-api-scala-java/code/main/scala/org/apache/wayang/api/package.scala#L41

```scala

/**
  * Provides implicits for the basic Wayang API.
  */
/**
 * TODO: add the documentation in the implicit of org.apache.wayang.api
 * labels: documentation,todo
 */
package object api {

  implicit def basicDataUnitType[T](implicit classTag: ClassTag[T]): BasicDataUnitType[T] = {

```

afd91b27aa8122e38852815a840fd64dd31ecd63","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/71/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
issue,https://api.github.com/repos/apache/incubator-wayang/issues/72,https://api.github.com/repos/apache/incubator-wayang/issues/72,incubator-wayang,1129135209,72,add the documentation in the methods of org.apache.wayang.api.util.DataQuantaBui...,github-actions,,,,OPEN,2022-02-09T22:51:20Z,2022-02-09T22:51:21Z,"add the documentation in the methods of org.apache.wayang.api.util.DataQuantaBuilderDecorator

https://github.com/apache/incubator-wayang/blob/278cbdc4bd8e87863a7cb43bc68c52ca783039c0/wayang-api/wayang-api-scala-java/code/main/scala/org/apache/wayang/api/util/DataQuantaBuilderDecorator.scala#L31

```scala

/**
  * Utility to extend a [[DataQuantaBuilder]]'s functionality by decoration.
  */
/**
 * TODO: add the documentation in the methods of org.apache.wayang.api.util.DataQuantaBuilderDecorator
 * labels: documentation,todo
 */
abstract class DataQuantaBuilderDecorator[This <: DataQuantaBuilder[This, Out], Out]
(baseBuilder: DataQuantaBuilder[_, Out])
  extends DataQuantaBuilder[This, Out] {

```

5e1d9e1f024145b62c1c86bef26e3deddf5f2340","{""url"": ""https://api.github.com/repos/apache/incubator-wayang/issues/72/reactions"", ""total_count"": 0, ""+1"": 0, ""-1"": 0, ""laugh"": 0, ""hooray"": 0, ""confused"": 0, ""heart"": 0, ""rocket"": 0, ""eyes"": 0}"
